Time (h), Air temperature (degC)
1,9
2,8.8
3,9
4,9.2
5,8.8
6,8.8
7,9.1
8,9.4
9,1
10,10.4
11,11
12,11
13,11
14,11
15,10.5
16,10.3
17,10.1
18,9.8
19,10.1
20,9.8
21,9.2
22,9.3
23,9.5
24,9.2
25,8.4
26,8.3
27,8.2
28,7.9
29,7.8
30,7.6
31,7.5
32,7.4
33,6.9
34,8.4
35,9.4
36,10.3
37,9.8
38,9.9
39,9.8
40,9.1
41,9.2
42,8.7
43,8.1
44,7.7
45,7.7
46,8.1
47,8.5
48,7.5
49,7.1
50,7.9
51,8.8
52,8.6
53,7.9
54,7.9
55,7.6
56,6.8
57,7
58,7.2
59,7.7
60,8
61,8
62,8
63,7.9
64,7.6
65,7.4
66,6.8
67,6.2
68,5.9
69,5.6
70,5.5
71,5.5
72,5.4
73,5.3
74,5.2
75,4.9
76,3.9
77,3.5
78,3.5
79,3.6
80,4
81,4.1
82,4.9
83,5.6
84,5.7
85,5.9
86,6.4
87,6.5
88,6.2
89,5.9
90,5.6
91,5.6
92,5.6
93,5.5
94,5.4
95,5.2
96,5.5
97,6.6
98,7.6
99,8.4
100,8.8
101,7.8
102,8.3
103,8.1
104,9.1
105,9.9
106,10.8
107,11.3
108,11.2
109,11.4
110,12.1
111,12
112,11
113,10.5
114,10.3
115,9.8
116,9.7
117,9.7
118,1
119,10.9
120,10.2
121,10.3
122,10.2
123,10.2
124,9.8
125,9.5
126,9.2
127,9.3
128,9.5
129,9.9
130,10.1
131,10.3
132,10.4
133,10.2
134,10.2
135,1
136,9.8
137,9.6
138,9.5
139,9.2
140,9
141,8.8
142,8.8
143,8.5
144,8.3
145,7.9
146,7.9
147,7.8
148,7.6
149,7.1
150,7
151,6.9
152,6.9
153,7
154,7.3
155,7.7
156,8.2
157,8.1
158,8.1
159,8.1
160,8.1
161,7.9
162,7.1
163,7.1
164,6.7
165,6
166,5.6
167,5.6
168,4.9
169,4.6
170,3.9
171,3.7
172,3.6
173,3.6
174,4.7
175,6.4
176,8
177,8.8
178,8.9
179,9.1
180,9.5
181,9.6
182,9.1
183,9.9
184,10.2
185,9.6
186,9.2
187,9.3
188,9.8
189,9.8
190,10.1
191,10.2
192,10.2
193,10.2
194,10.3
195,10.2
196,10.2
197,10.4
198,10.2
199,10.4
200,10.4
201,10.7
202,10.8
203,10.9
204,11.3
205,11.2
206,11.2
207,11.4
208,11.4
209,11.4
210,11.2
211,11.4
212,11
213,11.6
214,11.2
215,11.4
216,11.7
217,11.5
218,11.2
219,11
220,10.8
221,10.8
222,10.7
223,10.6
224,10.6
225,11
226,11.3
227,11.8
228,11.5
229,12.1
230,12.3
231,12
232,11.6
233,11.4
234,11.2
235,10.3
236,10.4
237,9.8
238,9.4
239,9.7
240,9.2
241,9.2
242,9.4
243,9.3
244,9.2
245,8.6
246,8.6
247,9.4
248,10.2
249,10.7
250,9.9
251,9
252,8.9
253,8.9
254,9.5
255,9.6
256,9.8
257,9.9
258,9.9
259,10.2
260,10.8
261,10.8
262,10.9
263,10.9
264,10.8
265,10.6
266,10.7
267,10.2
268,1
269,10.1
270,10.1
271,10.3
272,10.4
273,10.3
274,10.3
275,10.5
276,10.4
277,10.4
278,10.7
279,11.5
280,9.9
281,1
282,9.8
283,9.4
284,10.6
285,10.9
286,11.5
287,11.6
288,11.5
289,11.4
290,11.1
291,11.2
292,11.7
293,11.2
294,11.1
295,10.9
296,11.1
297,11.1
298,11.7
299,11.9
300,11.6
301,11.7
302,11.6
303,11.6
304,12
305,11.5
306,11.5
307,11.5
308,11
309,11.1
310,11.4
311,11.6
312,11.6
313,11
314,11.1
315,11.1
316,11.3
317,11.1
318,11.3
319,11.5
320,11.6
321,11.7
322,11.9
323,12.1
324,12.3
325,12.2
326,12.3
327,12.3
328,12
329,11.5
330,12
331,12.7
332,12.2
333,12.6
334,12.7
335,12.1
336,12.2
337,12.1
338,11.9
339,11.9
340,11.8
341,11.6
342,11.4
343,11.3
344,11.7
345,11.7
346,12
347,12.2
348,12.3
349,12.2
350,12.1
351,12.1
352,11.9
353,11.9
354,11.2
355,11.4
356,11.8
357,11.9
358,11.8
359,11.9
360,11.7
361,11.4
362,12.1
363,11.8
364,11.5
365,11.4
366,11.3
367,11.4
368,11.2
369,11.4
370,11.4
371,11.6
372,11.6
373,11.6
374,11.5
375,11.4
376,11.4
377,11.2
378,11.2
379,10.9
380,10.9
381,10.8
382,10.6
383,10.5
384,10.8
385,10.9
386,10.9
387,10.8
388,10.8
389,10.5
390,10.3
391,10.2
392,10.3
393,10.5
394,10.5
395,9.9
396,9.8
397,9.8
398,9.9
399,10.5
400,9.1
401,10.2
402,11.5
403,11.5
404,11.7
405,11.5
406,11.2
407,10.8
408,10.6
409,10.7
410,10.9
411,11
412,11.1
413,11.2
414,11.2
415,11.1
416,11.3
417,11.5
418,11.5
419,11.5
420,11.4
421,11
422,11
423,10.9
424,10.9
425,10.7
426,10.5
427,10.6
428,9.8
429,8.9
430,8.3
431,7.8
432,7.7
433,7.8
434,7.7
435,7.4
436,7.4
437,7.1
438,7.3
439,7.6
440,7.5
441,8.2
442,8.9
443,9.6
444,10.2
445,10.7
446,10.9
447,10.8
448,10.3
449,9.7
450,9
451,8.4
452,8
453,7.6
454,7.3
455,7.1
456,6.7
457,6.7
458,6.5
459,6.7
460,6.5
461,6.4
462,6.3
463,6.5
464,6.7
465,6.9
466,7.6
467,8.2
468,8.7
469,8.7
470,8.9
471,9
472,9.1
473,9
474,9
475,8.8
476,8.7
477,8.2
478,8.4
479,8.3
480,8.3
481,8.1
482,8.2
483,8.8
484,8.3
485,8.3
486,8.4
487,9.3
488,1
489,1
490,10.1
491,10.1
492,1
493,10.3
494,10.7
495,10.6
496,10.8
497,10.8
498,10.7
499,10.7
500,10.9
501,10.3
502,10.1
503,10.7
504,10.8
505,11
506,11.1
507,11.5
508,11.4
509,11.5
510,11.4
511,11.1
512,11.1
513,9.4
514,9.1
515,9.2
516,9.8
517,1
518,9.9
519,9.5
520,9.4
521,9
522,8.4
523,7.6
524,7.3
525,7.2
526,7.8
527,8.1
528,8.5
529,8.5
530,8.5
531,8.4
532,8.4
533,9.1
534,8.9
535,8.3
536,8.1
537,8.6
538,8.5
539,8.4
540,7.8
541,8.1
542,7.5
543,7.4
544,7
545,7
546,7.1
547,7.2
548,7.4
549,7.7
550,6.5
551,6.3
552,6
553,5.9
554,6
555,5.9
556,5.6
557,5.6
558,5.5
559,5.5
560,5.4
561,6.1
562,6.6
563,7.1
564,6.8
565,6.4
566,6.2
567,6
568,5.7
569,5.4
570,4.7
571,4.3
572,3.8
573,3.2
574,3
575,2.8
576,2.6
577,2.9
578,2.8
579,3.1
580,3.9
581,4.4
582,4.5
583,4.7
584,5.3
585,5.9
586,5.9
587,6.1
588,6.2
589,6.3
590,6.3
591,6.1
592,6
593,5.9
594,5.8
595,5.7
596,5.3
597,4.9
598,4.7
599,4.7
600,4.3
601,4
602,3.8
603,3.8
604,3.9
605,3.8
606,3.6
607,3.4
608,3.3
609,3.6
610,3.6
611,3.9
612,3.8
613,3.5
614,3.4
615,3.5
616,3.5
617,3.7
618,3.4
619,3.2
620,3
621,2.6
622,2.3
623,2.2
624,2.5
625,3.1
626,4.2
627,4.3
628,4.4
629,4.4
630,4
631,3.9
632,4.1
633,3.8
634,3.3
635,3.2
636,3.7
637,3.5
638,3.4
639,3.3
640,3.3
641,3.1
642,2.8
643,2.5
644,2.5
645,2.7
646,2.5
647,2.3
648,2.1
649,2
650,1.8
651,1.9
652,2
653,2.2
654,1.5
655,1.2
656,1.3
657,1.8
658,2.3
659,2.6
660,2.9
661,2.8
662,2.3
663,2
664,1.7
665,1.2
666,0.7
667,0.7
668,0.6
669,0.3
670
671,-0.2
672,-0.5
673,-0.4
674,-0.5
675,-0.5
676,-0.7
677,-0.2
678
679,0.2
680,0.7
681,-0.2
682,0.6
683,2.8
684,3.1
685,4.3
686,4.2
687,4.6
688,4.6
689,4.5
690,4.7
691,3.9
692,3.9
693,4
694,3.9
695,3.7
696,3.4
697,3.7
698,3.6
699,3.6
700,3.7
701,3.9
