% Model,HUR_model_weather_Helsinki_.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 14 2019, 18:27"
% Table,Table 8 - Point Evaluation 3 (T)
% Time (h),"Temperature (degC), Point: 3","Temperature (degC), Point: 9","Temperature (degC), Point: 13","Temperature (degC), Point: 17","Temperature (degC), Point: 23","Temperature (degC), Point: 25","Temperature (degC), Point: 27","Temperature (degC), Point: 39","Temperature (degC), Point: 41","Temperature (degC), Point: 47","Temperature (degC), Point: 51","Temperature (degC), Point: 53","Temperature (degC), Point: 57"
0,7.9999999953014935,7.999999984154385,7.9999984698307,7.999999608035694,7.999999909713381,7.999954775041772,7.999999918912238,7.999999646942911,7.999999979192239,7.999999990138804,7.999999994799737,7.99999999751725,7.999999999388137
1,8.180224395311313,8.06385466982266,8.476196637256976,8.420984395156893,8.071581650374299,10.269369450802628,8.046159737107871,8.58508205453677,8.55155900137629,8.794621617955045,8.107664476081993,8.165360998097015,8.249631423414883
2,8.800366895284299,8.319637402752903,9.203322750265556,9.066984134007441,8.310744130589796,11.524854122775935,8.217537699914885,9.39390655371426,9.344978462002246,9.818592463725565,8.47106128953584,8.702863971229874,9.019424210651664
3,9.571084603321367,8.686146172072995,9.847297182003501,9.656515168083502,8.62486578041063,12.55214134092023,8.461216644463036,10.044680135722444,10.042028496599869,10.646885306554225,8.940372236262078,9.355490739661548,9.90144711955486
4,10.181274215720293,9.01341150261112,10.377774067674352,10.162728207486339,8.908517062380952,13.374338404051116,8.689198801385771,10.592156646937156,10.628045736145225,11.318392201799554,9.344504509052456,9.877154304442115,10.572639716892809
5,10.651296417852109,9.306410861437655,10.809148942319155,10.596190944236184,9.165562705416221,14.017458055310556,8.903475082946159,11.049437838486654,11.117113097382116,11.852999197050963,9.691725087388818,10.284465468646886,11.059742802295375
6,11.121318619983867,9.599410220264247,11.240523816963957,11.02965368098603,9.42260834845149,14.660577706569882,9.117751364506546,11.506719030036209,11.606180458619065,12.387606192302371,10.03894566572518,10.691776632851656,11.546845887697941
7,11.591340822115626,9.892409579090724,11.671898691608817,11.463116417735876,9.67965399148676,15.303697357829265,9.332027646066933,11.96400022158582,12.095247819855956,12.92221318755378,10.386166244061542,11.09908779705637,12.033948973100507
8,11.813605160351528,10.073703583138297,11.889541409104027,11.714007873238359,9.858250210578944,15.635027586566537,9.490992646816835,12.234868707375313,12.367190556632067,13.209517053257912,10.593298851985026,11.29989625422678,12.244144534470706
9,12.024439542174946,10.249844219635463,12.097323897738136,11.956476662537682,10.033227277156016,15.951973854071412,9.647405940352144,12.49713730830939,12.629116557896225,13.485411941071561,10.793968700783353,11.491178002927313,12.441565361347386
10,12.23527392399842,10.425984856132573,12.305106386372302,12.198945451837005,10.208204343733144,16.268920121576286,9.803819233887452,12.759405909243469,12.89104255916044,13.76130682888521,10.994638549581737,11.682459751627789,12.638986188224067
11,12.446108305821838,10.602125492629739,12.51288887500641,12.441414241136329,10.383181410310215,16.585866389081218,9.960232527422761,13.02167451017749,13.152968560424654,14.037201716698803,11.195308398380064,11.873741500328322,12.836407015100747
12,12.656942687645369,10.778266129126905,12.72067136364052,12.683883030435652,10.558158476887343,16.902812656586093,10.11664582095807,13.283943111111569,13.414894561688811,14.313096604512452,11.395978247178391,12.065023249028798,13.03382784197737
13,12.867777069468787,10.954406765624014,12.928453852274629,12.926351819734919,10.73313554346447,17.219758924091025,10.273059114493378,13.54621171204559,13.676820562952969,14.588991492326102,11.596648095976718,12.256304997729274,13.23124866885405
14,13.07861145129226,11.13054740212118,13.136236340908795,13.168820609034242,10.908112610041599,17.536705191595956,10.429472408028687,13.808480312979611,13.938746564217183,14.864886380139751,11.797317944775102,12.447586746429806,13.428669495730674
15,13.197555620430933,11.256308152536292,13.291431672160797,13.331159880727967,11.030869659769223,17.713060652390936,10.544567472669314,13.977538799860213,14.10032382370946,15.032086875348341,11.925182227150856,12.564992233371356,13.547926887504673
16,13.293525893958758,11.369473195422643,13.433479445812566,13.47346560239464,11.14057094239331,17.85426635759353,10.649332376461246,14.123293396505119,14.236812431747069,15.172112184471018,12.034844054292194,12.663927575602315,13.64764227860013
17,13.389496167486584,11.482638238308994,13.575527219464334,13.615771324061257,11.250272225017511,17.99547206279624,10.754097280253177,14.269047993150025,14.373301039784678,15.312137493593639,12.144505881433474,12.762862917833274,13.747357669695589
18,13.485466441014353,11.595803281195401,13.717574993116102,13.75807704572793,11.359973507641712,18.136677767998833,10.858862184045051,14.414802589794931,14.509789647822231,15.452162802716202,12.254167708574812,12.86179826006429,13.84707306079099
19,13.581436714542122,11.708968324081752,13.859622766767927,13.90038276739449,11.469674790265856,18.277883473201484,10.96362708783704,14.56055718643978,14.646278255859784,15.592188111838823,12.363829535716093,12.96073360229525,13.946788451886505
20,13.677406988069947,11.822133366968103,14.001670540419695,14.042688489061163,11.57937607289,18.419089178404136,11.068391991628914,14.706311783084686,14.782766863897393,15.7322134209615,12.473491362857374,13.059668944526265,14.046503842981906
21,13.773377261597716,11.93529840985451,14.143718314071464,14.18499421072778,11.6890773555142,18.560294883606787,11.173156895420846,14.852066379729536,14.919255471934946,15.87223873008412,12.583153189998711,13.158604286757225,14.146219234077364
22,13.869347535125542,12.048463452740862,14.285766087723289,14.327299932394453,11.798778638138401,18.70150058880938,11.277921799212777,14.997820976374442,15.055744079972555,16.012264039206684,12.692815017139992,13.25753962898824,14.245934625172822
23,13.965317808653367,12.16162849562727,14.427813861375057,14.46960565406107,11.908479920762545,18.842706294012032,11.382686703004708,15.143575573019348,15.192232688010108,16.152289348329305,12.802476844281273,13.3564749712192,14.34565001626828
24,14.061288082181193,12.27479353851362,14.569861635026882,14.611911375727743,12.018181203386689,18.983911999214683,11.487451606796583,15.289330169664254,15.328721296047718,16.292314657451982,12.91213867142261,13.455410313450159,14.445365407363738
25,14.157258355708962,12.387958581399971,14.71190940867865,14.75421709739436,12.12788248601089,19.125117704417335,11.592216510588571,15.43508476630916,15.46520990408527,16.432339966574546,13.021800498563891,13.554345655681175,14.545080798459196
26,14.253228629236787,12.501123624286379,14.853957182330419,14.896522819061033,12.23758376863509,19.26632340961993,11.696981414380446,15.58083936295401,15.60169851212288,16.572365275697166,13.131462325705229,13.653280997912134,14.644796189554597
27,14.349198902764556,12.61428866717273,14.996004955982187,15.038828540727593,12.347285051259178,19.407529114822637,11.801746318172377,15.726593959598915,15.738187120160433,16.712390584819786,13.241124152846453,13.75221634014315,14.744511580650112
28,14.445169176292382,12.727453710059137,15.138052729633955,15.181134262394266,12.456986333883378,19.54873482002523,11.906511221964308,15.872348556243821,15.874675728197985,16.852415893942464,13.35078597998779,13.851151682374109,14.844226971745513
29,14.515709636899828,12.808545979208532,15.236709865494845,15.270924969085286,12.53737509976304,19.64183703896009,11.980684238647314,15.973375702497606,15.968279332226587,16.94795589076648,13.42882724739519,13.921403195074902,14.915140080908714
30,14.559587806584318,12.856011039744146,15.289873398562179,15.305655474921139,12.587030692277551,19.684504394323767,12.022782705803309,16.027507643572278,16.01691947322456,16.996854555937148,13.473715437137173,13.961580691497545,14.955854980492973
31,14.603465976268865,12.903476100279818,15.343036931629513,15.340385980756992,12.636686284792006,19.727171749687443,12.064881172959247,16.081639584646894,16.065559614222536,17.045753221107873,13.518603626879042,14.001758187920245,14.996569880077118
32,14.647344145953411,12.950941160815432,15.396200464696847,15.375116486592901,12.686341877306518,19.769839105051062,12.106979640115185,16.13577152572151,16.11419975522051,17.09465188627854,13.563491816620967,14.041935684342832,15.03728477966132
33,14.691222315637958,12.998406221351104,15.44936399776418,15.409846992428811,12.735997469820973,19.81250646041474,12.149078107271123,16.189903466796125,16.162839896218486,17.143550551449266,13.608380006362893,14.082113180765475,15.077999679245579
34,14.735100485322505,13.045871281886775,15.502527530831514,15.444577498264664,12.785653062335484,19.855173815778357,12.191176574427061,16.24403540787074,16.211480037216404,17.192449216619934,13.653268196104818,14.122290677188175,15.118714578829781
35,14.778978655007052,13.093336342422447,15.555691063898848,15.479308004100574,12.835308654849996,19.897841171142034,12.233275041583,16.298167348945412,16.26012017821438,17.24134788179066,13.698156385846744,14.162468173610762,15.15942947841404
36,14.822856824691598,13.140801402958061,15.608854596966182,15.514038509936483,12.88496424736445,19.94050852650571,12.275373508738994,16.352299290020028,16.308760319212354,17.290246546961328,13.74304457558867,14.202645670033405,15.200144377998242
37,14.866734994376088,13.188266463493733,15.662018130033516,15.548769015772393,12.934619839878962,19.98317588186933,12.317471975894932,16.406431231094643,16.35740046021033,17.339145212131996,13.787932765330538,14.242823166456049,15.240859277582445
38,14.910613164060635,13.235731524029347,15.71518166310085,15.583499521608246,12.984275432393417,20.025843237233005,12.35957044305087,16.46056317216926,16.406040601208304,17.38804387730272,13.832820955072464,14.283000662878749,15.281574177166647
39,14.954491333745239,13.283196584565019,15.768345196168184,15.618230027444156,13.033931024907986,20.06851059259668,12.401668910206865,16.514695113243874,16.45468074220628,17.436942542473446,13.87770914481439,14.323178159301335,15.322289076750906
40,14.998369503429785,13.33066164510069,15.821508729235518,15.652960533280066,13.08358661742244,20.111177947960357,12.443767377362747,16.568827054318547,16.503320883204196,17.485841207644114,13.922597334556315,14.363355655723979,15.363003976335108
41,15.042247673114275,13.378126705636305,15.874672262302852,15.687691039115919,13.133242209936952,20.153845303324033,12.485865844518742,16.622958995393162,16.55196102420217,17.53473987281484,13.96748552429824,14.403533152146679,15.40371887591931
42,15.086125842798822,13.425591766171976,15.927835795370186,15.722421544951828,13.182897802451407,20.196512658687652,12.52796431167468,16.677090936467778,16.600601165200146,17.583638537985507,14.012373714040109,14.443710648569322,15.444433775503512
43,15.130004012483369,13.473056826707648,15.98099932843752,15.757152050787738,13.232553394965919,20.23918001405133,12.570062778830618,16.73122287754245,16.64924130619812,17.632537203156232,14.057261903782035,14.483888144991909,15.485148675087771
44,15.173882182167915,13.520521887243262,16.034162861504853,15.791882556623591,13.282208987480374,20.281847369415004,12.612161245986613,16.785354818617066,16.697881447196096,17.6814358683269,14.102150093524017,14.524065641414609,15.525863574671973
45,15.217760351852462,13.567986947778934,16.087326394572187,15.8266130624595,13.331864579994885,20.324514724778624,12.654259713142494,16.83948675969168,16.74652158819407,17.73033453349757,14.147038283265886,14.564243137837252,15.566578474256232
46,15.261638521537009,13.615452008314548,16.14048992763952,15.861343568295354,13.381520172509397,20.3671820801423,12.696358180298489,16.893618700766297,16.79516172919199,17.779233198668294,14.191926473007811,14.604420634259895,15.607293373840434
47,15.305516691221499,13.66291706885022,16.193653460706855,15.89607407413132,13.431175765023852,20.409849435505976,12.738456647454427,16.94775064184097,16.843801870189964,17.828131863838962,14.236814662749737,14.644598130682539,15.648008273424637
48,15.349394860906045,13.710382129385891,16.246816993774132,15.930804579967173,13.480831357538364,20.452516790869595,12.780555114610365,17.001882582915584,16.89244201118794,17.877030529009687,14.281702852491605,14.684775627105182,15.688723173008839
49,15.393273030590592,13.757847189921563,16.299980526841523,15.965535085803026,13.530486950052875,20.49518414623327,12.82265358176636,17.0560145239902,16.941082152185913,17.925929194180355,14.326591042233588,14.724953123527825,15.729438072593098
50,15.437151200275196,13.805312250457177,16.353144059908857,16.000265591638936,13.580142542567387,20.53785150159689,12.864752048922298,17.110146465064872,16.98972229318389,17.97482785935108,14.371479231975457,14.765130619950469,15.7701529721773
51,15.481029369959685,13.852777310992792,16.406307592976134,16.034996097474846,13.629798135081842,20.580518856960566,12.906850516078237,17.164278406139488,17.038362434181806,18.02372652452175,14.416367421717382,14.805308116373112,15.810867871761502
52,15.524907539644232,13.900242371528464,16.459471126043525,16.0697266033107,13.679453727596353,20.623186212324242,12.948948983234175,17.218410347214103,17.08700257517978,18.072625189692417,14.461255611459308,14.845485612795756,15.851582771345704
53,15.568785709328779,13.947707432064135,16.51263465911086,16.104457109146608,13.729109320110808,20.66585356768786,12.99104745039017,17.27254228828872,17.135642716177756,18.121523854863142,14.506143801201233,14.885663109218399,15.892297670929906
54,15.612663879013269,13.995172492599806,16.565798192178136,16.139187614982518,13.77876491262532,20.708520923051537,13.033145917546051,17.32667422936339,17.18428285717573,18.17042252003381,14.551031990943159,14.925840605641042,15.933012570514165
55,15.656542048697872,14.042637553135478,16.618961725245526,16.173918120818428,13.828420505139832,20.751188278415214,13.075244384702046,17.380806170438007,17.232922998173706,18.219321185204535,14.595920180685027,14.966018102063686,15.973727470098368
56,15.700420218382419,14.090102613671093,16.67212525831286,16.20864862665428,13.878076097654287,20.79385563377889,13.117342851857984,17.434938111512622,17.28156313917168,18.26821985037526,14.640808370426953,15.006195598486329,16.014442369682627
57,15.744298388066966,14.137567674206707,16.725288791380137,16.24337913249019,13.927731690168798,20.836522989142566,13.159441319013922,17.489070052587294,17.3302032801696,18.31711851554593,14.685696560168878,15.046373094908972,16.05515726926683
58,15.770254047498668,14.1647243138857,16.751978635151318,16.273079053091635,13.953809173757634,20.933875150227664,13.187530088505866,17.513637103867893,17.354787290322008,18.341913377989215,14.711989823872614,15.070923098781122,16.080239150781267
59,15.793401271382663,14.188698648728518,16.77452008402406,16.30199068710823,13.976191996368527,21.03979635382666,13.2134235554214,17.53357137289362,17.375601734043414,18.36293120387552,14.735369285293189,15.09302429358678,16.10287135738713
60,15.816548495266602,14.212672983571338,16.797061532896862,16.33090232112494,13.998574818979534,21.145717557425655,13.239317022336934,17.553505641919287,17.39641617776482,18.38394902976188,14.75874874671382,15.115125488392437,16.12550356399305
